"Type","AGB","Mean_AGB_Carbon_Secure","Low_AGB_Carbon_Secure","Hi_AGB_Carbon_Secure","Mean_AGB_Carbon_Restor","Low_AGB_Carbon_Restor","Hi_AGB_Carbon_Restor"
"Delta_30028",65571.6474061571,17550.1501159617,17463.6240734917,17636.6761584316,3446.54709996389,2022.88836474469,9407.26199496934
"Delta_50000",66876.2625171445,5361.93404714475,5355.40381129039,5368.46428299911,16052.5139734701,11869.5958296021,22111.6496109705
"Delta_50001",502766.462239992,39692.2454179795,39662.9427635823,39721.5480723767,121298.603455888,89550.6978208239,166771.165726003
"Delta_70000",183300.73331836,46669.8399484957,46618.7400183908,46720.9398786005,12024.8878673765,7603.90999318573,28589.8835259703
"Delta_70001",209807.500849981,60532.9160895049,60484.8437288005,60580.9884502093,6649.54375766762,3519.70095128999,25594.4901310742
"Delta_70002",142052.3552194,41772.3783351183,41730.8100090676,41813.9466611689,3714.20632968596,1759.27702289169,16543.7753655337
"Delta_70003",107771.799706041,25854.3984721446,25831.3700879221,25877.426856367,8655.2095117268,5372.74410054867,18392.5934582419
"Delta_70004",16639.6225635409,3241.72971661246,3235.10961937383,3248.34981385108,2086.44382445897,1439.82937587372,3594.66366031749
"Delta_70005",10826.8515660843,3000.80747397562,2997.43989767453,3004.17505027672,466.058666000218,256.292759400122,1444.25964235554
"Delta_70006",44377.397774868,10190.1587145463,10180.6713728891,10199.6460562034,4019.92782694424,2599.43122617219,8030.23854353265
"Delta_70007",128412.878190632,33800.1886926741,33779.1494759987,33821.2279093495,7318.89903274815,4693.96997172879,18913.5061957476
"Delta_70008",651110.920640841,120523.617837685,120253.208548714,120794.027126656,87968.6100607183,56827.5876842783,147027.951607022
"Delta_70009",885183.10398012,181919.548331073,181724.428257533,182114.668404613,101524.933394401,64985.8560655247,181562.978358908
"Delta_70010",214062.24123228,58611.7115467518,58538.1993564809,58685.2237370227,9933.15871823671,5533.11734353131,29278.2483474004
"Delta_70011",256451.254041529,36677.4119771866,36636.7104227081,36718.1135316651,45440.8440794513,29824.4729556948,68648.8435501794
"Delta_70012",146509.842107051,20103.7071220412,20061.8979047397,20145.5163393426,26810.2094190578,17609.3185843248,40108.6370750091
"Delta_70013",81068.8847759626,25227.8262534318,25213.6472960365,25242.0052108271,731.241340679184,0,8048.17557446662
"Delta_70014",773938.211310274,204381.44424662,204313.443066779,204449.445426462,43441.3103970423,25233.4085125867,113288.217435533
"Delta_8735",498.935923974277,67.5060305137196,65.1069128314413,69.905148195998,92.2582417020835,58.5962215482971,142.140467998529
"Delta_8736",2915214.37741285,666194.177420819,665694.138991131,666694.215850508,267286.61837055,183946.467499126,530636.947065281
"Delta_8739",262702.565214032,20411.6383385322,20389.7817565287,20433.4949205358,63708.350068653,47070.8530646533,87497.7129263836
"Delta_8740",192175.970838326,47183.872602388,47037.8678257592,47329.8773790169,14352.7950197523,8904.21412819031,31785.1193805904
"Delta_8741",48848.4567337379,5406.35763568539,5384.47284230659,5428.2424290642,10235.4066950248,7122.16761104642,14700.8060507169
"Delta_8742",69623.2858521729,13430.2411900608,13419.374640884,13441.1077392376,8863.83117266347,5697.11453430499,15156.1046058482
"Delta_8743",44594.4449546855,4130.14812875866,4115.05269555118,4145.24356196614,10149.4390901812,7306.94145319411,14223.6552801981
"Delta_8745",113659.761295988,27828.9034382236,27741.1558845098,27916.6509919374,8566.0887263649,5204.14648165092,18877.535020275
"Delta_8746",57856.5405470069,5419.87911469229,5339.73518051152,5500.02304887307,13106.3637338648,9313.51547360651,18595.9964309081
"Delta_8747",75302.3691400865,14554.6631393195,14509.663131228,14599.663147411,9557.9084830276,6127.77466229232,16400.7335610605
"Delta_8748",114198.475394765,8918.12066808093,8903.20469778554,8933.03663837632,27649.3731380768,20404.6964248827,38013.5488796669
"Delta_8749",5604.56319946627,1744.08402204191,1738.61414863799,1749.55389544582,50.5531600591858,0,557.828778258089
"Delta_8750",361524.773940733,29493.0583225108,29427.1585011034,29558.9581439184,86270.7895410513,63455.5930145978,119145.952490731
"Delta_8751",114634.586821279,33039.1022017226,32987.1415557723,33091.0628476729,3668.03884431899,1820.69468347116,14030.1091019385
"Delta_8753",47205.3086389685,14319.3783730044,14304.7948852927,14333.9618607161,796.233506279676,256.19839493405,5059.29971760747
"Delta_8754",135258.994553487,28559.8405487879,28508.8791470339,28610.8019505418,14751.4420971841,9351.18061891129,26999.8954699737
"Delta_8757",349.599121727709,47.300761169759,46.7871564223156,47.8143659172024,64.6443735986706,42.108440780084,97.2225440316448
"Delta_8758",93862.2479027533,29201.466049258,29173.0418747492,29229.8902237669,854.164351682613,5.20584166823263,9329.61155530557
"Delta_8760",21770.2201635921,2836.33050216338,2828.34643418991,2844.31457013685,4134.71169642043,2926.46143680159,6115.55207535589
"Delta_8761",154691.625904842,24121.0983086371,24091.5996314454,24150.5969858289,25412.7072223523,16656.0124364211,39414.0340374249
"Delta_8762",862532.243707617,71550.4412505504,71450.8083249934,71650.0741761074,204641.008507066,151133.946459363,282834.712362886
"Delta_8763",120094.728616064,11323.007911035,11311.827884348,11334.1879377221,27132.5251391147,19606.2001211731,38002.5553262228
"Delta_8764",147290.623253721,22331.1559551612,22315.4576549458,22346.8542553766,24832.7745169128,17966.549348032,38145.185104066
"Delta_8765",215282.396136333,58790.8148246502,58689.9757064849,58891.6539428155,10144.761242165,5669.19985544162,29613.9407910098
