"Name","Area_2020_km2","Gross_Loss","Restorable_km2","OVERALL_SRE","OVERALL_SCORE_MIN","OVERALL_SCORE_MAX","Min_Score","Max_Score","Total_Fish","Fish","Crab","Bivalve","Shrimp","MeanAGB_Secure","MeanAGB_Restor","MeanSOC_Secure","MeanSOC_Restor","Area_Rank","Proportion_Restorable"
"American Samoa",0.320500793470709,0.00549183851043725,0.00408059647500068,0.830489204339112,0.830489204339112,0.830489204339112,0.697929094397329,0.890489204339112,6871.23107655628,6840.29437983047,30.9366967258034,0,0,7.33740109215714,12.6797263412319,46.1870982788524,17.0841437257693,112,1.27
"Angola",283.197564043838,14.8505468471936,8.59737551512772,0.66770731707317,0.504,0.816,0.624,0.72770731707317,0,0,0,0,0,13772.6111091433,17409.4461689806,135182.720065032,15147.9432365591,45,3.04
"Anguilla",0.0370080881222284,0.0166117167174818,0.0166117167174818,0.572,0.572,0.572,0.572,0.632,28160.8330656122,13656.6064994101,14504.2265662022,0,0,1.35981488330045,1.85841367384394,239.244418250641,28.5664977015691,119,44.89
"Antigua and Barbuda",8.68791389134089,0.944304554147876,0.944304554147876,0.612,0.596,0.632,0.572,0.672,2059130.10958176,998575.914715533,1060554.19486622,0,0,276.817278379372,378.316947118475,13691.8120806964,1634.84323351599,82,10.87
"Aruba",0.459389225599765,0.0977436884088028,0.0661010961224811,0.585167829599706,0.585167829599706,0.585167829599706,0.576721263312523,0.645167829599706,102211.905322693,49567.7016121905,52644.2037105026,0,0,40.3662613563737,30.3688165180908,879.034862578115,89.3482510205768,107,14.39
"Australia",10072.8257233921,909.738565985879,666.389576261416,0.792,0.452816835183854,0.912,0.757114275475674,0.839703703703704,2041832683.99045,701496221.889887,3109076.13532117,0,1337227385.96524,2010523.22708968,311578.530280277,11230707.1033178,226089.396911471,3,6.62
"Bahamas",1541.21516855639,167.407574791894,103.393403765851,0.755529508252742,0.624,0.822888163711191,0.729960197032456,0.815529508252742,161215841.382255,76480945.1916409,84734896.190614,0,0,40795.7061656201,4036.779905732,2283181.20491613,46026.5301548657,24,6.71
"Bahrain",0.597000348570024,0.328161471789275,0.282395688084907,0.642913443830571,0.564913443830571,0.720913443830571,0.612913443830571,0.702913443830571,2080123.68871356,708400.514593523,2881.52139762308,0,1368841.65272241,90.1833093767298,62.5507060160422,3577.51716942669,272.917460047828,104,47.3
"Bangladesh",4480.58865931968,270.013885113333,56.5168501739487,0.72446076075488,0.55548404910529,0.84012844128508,0.648,0.78446076075488,31239396.2016371,12878612.343227,52110.3863635268,0,18308673.4720465,170927.663489586,113449.018451593,674508.905204104,95497.3023800286,9,1.26
"Barbados",0.106328720045359,0.00782064352506848,0.00782064352506848,0.568,0.568,0.568,0.568,0.628,10823.2566406929,5248.74234507511,5574.51429561783,0,0,4.98977666543914,6.81936144276682,87.5706782915137,10.4562003930166,116,7.36
"Belize",526.010901881501,32.8548886051786,23.8853856840987,0.685266238689309,0.576635280771412,0.783124997729366,0.608,0.745266238689309,48233974.4002828,23339707.4249713,24894266.9753115,0,0,6340.23979178666,6638.99534152975,411065.142539767,68921.3891531932,39,4.54
"Benin",29.0636954380937,6.35196299265646,0.564100730339962,0.611639749379845,0.611639749379845,0.611639749379845,0.575364906017442,0.671639749379845,0,0,0,0,0,252.364425184115,378.451785165836,10523.6500004283,1681.40409215661,72,1.94
"Bermuda",0.209411956047962,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,NA
"Bonaire, Sint Eustatius and Saba",1.98266317980375,0.503257715095222,0.503257715095222,0.584,0.584,0.584,0.524,0.644,814550.933168137,395016.778874637,419534.1542935,0,0,258.720471648137,353.584644585787,6944.59266008899,829.205093741969,94,25.38
"Brazil",11414.9101060819,860.457078272442,454.307063210984,0.735021834061135,0.468,0.90356237749623,0.663737991266376,0.788,1037501392.28377,443733073.92392,593768318.359848,0,0,1075416.13121133,438893.654950025,9916669.72276517,1310806.06406301,2,3.98
"Brunei Darussalam",109.579578581095,1.82103774351002,1.73941736374316,0.770681569923288,0.724,0.817363139846576,0.632005588721233,0.830681569923288,5217972.33976437,1747404.70992408,7107.82101117296,0,3463459.80882911,3141.43779024159,9476.61124367727,26671.240033093,14147.29908952,58,1.59
"Cambodia",628.174872948137,29.3042583995649,22.7640705122353,0.747873757290924,0.710975642314064,0.810332133248095,0.63132765235248,0.807873757290924,65126391.149695,21808623.8616108,88735.361143469,0,43229031.9269407,18266.4698448343,53110.676201965,300665.590477569,157082.892021964,34,3.62
"Cameroon",1972.09693295785,30.8304422341673,24.4952340367356,0.717895450686212,0.563817993293342,0.842752073626232,0.674898105258633,0.777895450686212,0,0,0,0,0,121270.631545315,27294.7708129035,538793.926206189,14725.4142863096,21,1.24
"Cayman Islands",44.8850556368012,2.26644040337725,1.46458042805451,0.578985236508424,0.56,0.597970473016847,0.564362915022513,0.638985236508424,3339692.65519394,1619585.19887139,1720107.45632255,0,0,757.973998247241,929.284107340086,27450.4702064902,3116.07510807626,69,3.26
"China",215.871525859052,83.4405635826053,40.5111910477728,0.762594222187427,0.614594222187427,0.858594222187427,0.661575667423471,0.805341715609232,53801261.3959776,14955397.8525861,121732.361653671,0,38724131.1817378,29046.6753003923,71067.7671215158,529872.243190696,229608.042020571,50,18.77
"Colombia",2807.52379812559,170.769718600326,102.686607927572,0.798019217756124,0.486219352127399,0.904,0.757876843957234,0.804,598643273.766826,244421393.959543,326962334.489614,27259545.3176688,0,118320.504190328,65114.796441863,2225162.87579378,252277.385154662,15,3.66
"Comoros",0.969443801004775,0.0332211537641135,0.0284101459477816,0.825920909911097,0.801920909911097,0.829920909911097,0.758461869088771,0.825920909911097,103342.230793439,35193.911722908,143.156318504098,0,68005.1627520267,174.772352035767,101.074469030166,552.159177343963,51.5248977190974,103,2.93
"Congo",20.5712452453731,0.559042543219391,0.164566666035843,0.72770731707317,0.632,0.775707317073171,0.67970731707317,0.78770731707317,0,0,0,0,0,647.827669017737,347.464295892405,2728.00964209303,185.778759487864,74,0.8
"Congo, The Democratic Republic of the",237.227198941881,4.69627806325219,0.298532330379765,0.771853658536585,0.72770731707317,0.816,0.729853658536585,0.831853658536585,0,0,0,0,0,763.011961609425,44.3364816034576,6265.46823634555,33.3415630749413,49,0.13
"Cook Islands",0.032715371710911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA
"Costa Rica",371.112225504309,28.7155373719649,18.9089991275091,0.74558083413276,0.612,0.864,0.68597032755491,0.782801326944342,55357181.1103799,5392968.34057091,17736968.0185218,32227244.7512872,0,21045.3745163788,41093.4246686653,308155.721704975,111313.464873639,41,5.1
"Côte d'Ivoire",54.5341198827301,6.53515678832018,5.86898089502475,0.668,0.524,0.823919206976224,0.636,0.728,0,0,0,0,0,7079.35731631339,9677.15795297203,132198.43563312,15816.3270413458,68,10.76
