"Type","Mean_SOC_Carbon_Secure","Low_SOC_Carbon_Secure","Hi_SOC_Carbon_Secure","Mean_SOC_Carbon_Restor","Low_SOC_Carbon_Restor","Hi_SOC_Carbon_Restor"
"Delta_30028",253878.166509028,253680.215684371,254076.117333685,8676.93013256844,2843.35974343598,13790.1067216778
"Delta_50000",88284.0811783281,88225.4957726143,88342.6665840419,48344.8754923862,33997.8919220949,60919.1312898245
"Delta_50001",398141.056729526,398015.701118503,398266.412340549,215847.905136552,150481.974697248,273087.579251012
"Delta_70000",530783.349438323,530601.997918091,530964.700958554,31936.3499631817,16833.6794419078,45161.5773469677
"Delta_70001",709811.729091681,709600.514351217,710022.943832145,17320.5536879062,9859.51959487731,23853.4864811832
"Delta_70002",373556.755782347,373415.850291142,373697.661273552,5654.14596558217,2535.52132196967,8385.26709236475
"Delta_70003",274496.11222487,274383.928542787,274608.295906953,13153.0903241464,2011.79783733413,22910.360929508
"Delta_70004",48756.0057141719,48729.0808555998,48782.9305727439,7657.36857021066,4561.74153945748,10369.5600295878
"Delta_70005",24149.624701361,24143.0055795703,24156.2438231517,492.22376558094,43.82196897914,884.807273619477
"Delta_70006",47303.6744456019,47292.1458428986,47315.2030483053,3542.77674551777,1423.12520918777,5398.48365327259
"Delta_70007",66919.9879891129,66906.5351130932,66933.4408651326,4458.32259800879,3020.53949639163,5717.00044376679
"Delta_70008",404245.378522281,403999.431445478,404491.325599085,33019.464275917,1085.07221240194,60998.5689274681
"Delta_70009",2251635.95246598,2251172.05997956,2252099.84495241,154750.613879492,10691.3262043726,280858.41469087
"Delta_70010",672386.723248339,672225.729694808,672547.71680187,13948.6505943806,0,26159.9820052131
"Delta_70011",628289.538425929,628165.263240765,628413.813611094,70845.6770835338,0,132861.91931946
"Delta_70012",424775.400789215,424621.115875753,424929.685702677,50011.9273665833,0,93806.423367132
"Delta_70013",83905.4510927048,83883.2540509687,83927.6481344408,0,0,0
"Delta_70014",681005.053686812,680902.788422151,681107.318951473,18034.5903803949,0,33819.9348775351
"Delta_8735",4036.03537118269,3998.26605735221,4073.80468501317,481.914671185993,0,912.045825002948
"Delta_8736",4647075.74912855,4645537.47995648,4648614.01830062,580951.229886622,396921.43488084,742107.867893544
"Delta_8739",255658.582109241,255511.924411088,255805.239807394,141052.831334526,98680.3071113768,178181.384482547
"Delta_8740",131737.605071637,131515.360822112,131959.849321162,6582.59875127296,1800.85710651213,10782.1189112626
"Delta_8741",65235.6304526614,65176.631948068,65294.6289572549,17662.5897180903,8812.13607083675,25422.7282407463
"Delta_8742",96341.7181311375,96248.7689442856,96434.6673179894,7079.04813760482,0,13286.0210766001
"Delta_8743",145553.372463379,145370.257626233,145736.487300524,59769.5627121217,37820.8088550441,79032.3391369968
"Delta_8745",656260.813830932,655635.525355849,656886.102306014,25120.6876071294,0,47146.1675994151
"Delta_8746",310430.468151243,309835.703175889,311025.233126597,124657.406666426,78098.1151118944,165582.246679707
"Delta_8747",205373.16522104,205199.317452726,205547.012989355,15032.9795862025,0,28210.6967968663
"Delta_8748",129848.613605263,129637.63898358,130059.588226947,71108.9757464148,49592.7913496845,90011.0277425385
"Delta_8749",13884.7965989547,13877.5477138954,13892.045484014,0,0,0
"Delta_8750",665495.948017501,665091.35668454,665900.539350462,348236.169484528,240930.328257639,442269.253491564
"Delta_8751",130430.244380031,130041.956101995,130818.532658068,1632.12494166481,0,3069.34452297812
"Delta_8753",50553.7335355678,50526.7610325381,50580.7060385975,211.901786542046,0,397.527834168121
"Delta_8754",137736.922217713,137692.461046841,137781.383388585,8334.82104379561,0,15632.8340726506
"Delta_8757",658.905836929449,654.91326500769,662.898408851208,78.6753238124716,0,148.410091533853
"Delta_8758",63783.8454251614,63754.3686394949,63813.3222108278,2.70538214490313,0,5.07493574681905
"Delta_8760",47098.0627277666,47058.6888835942,47137.436571939,13311.6642449196,7932.88036119805,18027.3506303601
"Delta_8761",539464.093109284,539246.901972008,539681.284246561,57446.7907536403,2606.16317811917,105473.868669815
"Delta_8762",1203576.73720446,1203203.46783353,1203950.0065754,642021.969622446,450626.543821048,809621.657091287
"Delta_8763",294428.360289853,294005.477687689,294851.242892016,120854.281843558,77038.2868385675,159324.827919509
"Delta_8764",240763.176706957,240679.919269375,240846.434144539,70496.8192868566,48459.2796327522,89796.0398831092
"Delta_8765",2450602.03146498,2449739.83857686,2451464.2243531,51865.91626055,0,97282.8078647852
"Delta_8766",1181258.42246751,1180733.35868692,1181783.48624811,592357.580465485,413054.406270641,749420.10149557
"Delta_8767",242168.213845173,241813.940646169,242522.487044176,135758.995306833,95307.1285028528,171282.408258462
"Delta_8768",3807590.28936037,3805860.76576946,3809319.81295128,2127120.06787572,1494108.22818638,2681628.8464633
"Delta_8769",176314.701671317,176277.883740105,176351.519602529,833.836932035145,0,1563.77072506446
"Delta_8770",71192.2693160734,71161.0977191684,71223.4409129785,10915.822173731,7332.74393737107,14054.3561014728
"Delta_8771",43418.1938386336,43380.8076535087,43455.5800237585,20586.4517769282,13780.6137963645,26554.0134678768
"Delta_8772",471724.663844551,471496.36811999,471952.959569111,117051.425405935,55101.6901279552,171316.969255948
"Delta_8775",84742.2605447869,84646.4623802501,84838.0587093236,10590.1949722539,420.923339446962,19509.9212001504
"Delta_8776",81233.0514331776,81186.1961589109,81279.9067074443,45352.8557273136,31865.5664719418,57171.0992909471
"Delta_8779",1527628.99202867,1526477.17415513,1528780.80990221,164639.243310097,0,308931.337029491
"Delta_8780",138982.849102511,138892.319661808,139073.378543215,12099.8780735329,2111.51116493886,20852.0684763129
"Delta_8781",4526275.82445792,4524074.27806893,4528477.37084692,2520802.41668276,1771714.21272003,3177044.73767464
"Delta_8782",13082.6338940916,13026.4708416899,13138.7969464934,4069.49384427323,2230.31763641921,5694.7016502792
"Delta_8783",59540.4286076539,59475.0157828977,59605.84143241,4744.56076411503,0,8905.82489029732
"Delta_8784",208692.475046279,208507.953113992,208876.996978566,10002.8739776219,3033.49382439699,16112.9668411202
"Delta_8785",80239.1309144682,80194.6514479298,80283.6103810066,39922.7124431262,27578.1322248263,50738.9469585183
"Delta_8786",1606657.56553919,1605994.78517285,1607320.34590552,892863.606682194,626097.377610375,1126522.49302456
"Delta_8787",232789.422516205,232630.994249856,232947.850782555,24787.4641384217,0,46508.1255221633
"Delta_8788",634005.581439125,632913.488589856,635097.674288395,1290.99505936447,0,2424.78531653581
"Delta_8795",75655.9769905825,75604.4478941751,75707.5060869899,7321.27278966243,0,13736.7361691614
"Delta_8797",80518.7637243178,80490.800914371,80546.7265342647,0.419047144274237,0,0.785986260537641
"Delta_8799",2379.14765449517,2364.41403570663,2393.88127328371,729.595983817803,395.531943114021,1026.06048353936
"Delta_8801",3467.37644232648,3426.8210208311,3507.93186382186,1565.06869954038,1019.91150805833,2055.28091504533
"Delta_8802",161582.786574459,161511.147732233,161654.425416685,31893.4370428032,15691.6459129383,46084.3369607864
"Delta_8805",335649.056871084,335494.455430273,335803.658311896,182825.281842253,128056.914222162,230802.2286773
"Delta_8806",19317.0917620433,19291.0098628921,19343.1736611945,1876.49840043044,0,3523.18508412214
"Delta_8808",696335.16978411,696160.759122526,696509.580445695,8862.14904583212,0,16620.6913933239
"Delta_8809",6245.32805170366,6167.05783465565,6323.59826875168,15.1499970655913,0,28.7622486828671
"Delta_8810",152575.527228617,152491.682336293,152659.372120942,33074.9024520605,22103.0695854697,42688.0678538706
"Delta_8811",53402.2107096792,53230.4748002017,53573.9466191568,0,0,0
"Delta_8812",75378.0510314847,75025.2611838984,75730.840879071,0,0,0
"Delta_8813",251698.075039703,251579.679215579,251816.470863827,34887.5319293703,19302.7007315602,48539.1321987659
"Delta_8814",24581.3407382829,24562.6130753286,24600.0684012372,2169.90453736338,0,4071.6707093727
"Delta_8815",12819.6739034556,12815.2657154878,12824.0820914234,1487.29826174367,0,2789.64316097348
"Delta_8816",73209.8124224456,73058.8032288368,73360.8216160544,14855.7662430748,6802.7517687236,21935.0025438516
"Delta_8817",3321.35865651781,3317.67915124381,3325.03816179182,0,0,0
"Delta_8818",161398.681841275,161327.781791459,161469.581891092,591.632940626058,0,1109.79906789722
"Delta_8819",36940.2929455916,36840.2829321142,37040.302959069,6145.0170785246,1545.05632423956,10193.8363679784
"Delta_8820",117384.003980171,117278.447035879,117489.560924463,63891.5432802001,44516.0812587588,80882.6820060273
"Delta_8821",31743.8497740433,31700.1356564139,31787.5638916727,3059.32128300682,0,5744.12670333936
"Delta_8822",3035.04546008118,3021.70606218139,3048.38485798096,436.719974022928,99.8534671832222,734.30570380375
"Delta_8823",2899690.38376762,2898175.65955121,2901205.10798402,1617950.09927913,1135842.90583057,2040339.71869363
"Delta_8824",167370.591146876,166967.700120298,167773.482173454,84624.037478321,58772.8821714562,107377.563749085
"Delta_8825",7845.80506155159,7801.7240023656,7889.88612073758,0,0,0
"Delta_8826",57372.5523886294,57330.7746307842,57414.3301464747,6301.55212944125,718.651662067787,11194.2773670107
"Delta_8827",67833.7808070161,67810.0657199971,67857.4958940351,4918.75923107541,0,9225.89785895228
"Delta_8828",208190.337378944,208133.460541008,208247.21421688,112437.292237704,78599.6191215472,142065.263202156
"Delta_8830",599505.226859266,598573.077223058,600437.376495475,74164.5608278751,2302.86392287231,137253.486998822
"Delta_8831",31959.4681484933,31814.4745227585,32104.4617742282,2046.19686122115,0,3854.02507766214
"Delta_8832",107645.663403462,107523.561381669,107767.765425255,58151.4038085568,40514.5907590864,73626.7783968066
"Delta_8834",604702.408289083,604434.292413345,604970.52416482,13909.4278083364,213.189653138606,25905.0342568664
"Delta_8835",664961.400365029,664779.104353489,665143.696376569,340364.039269951,237238.252768315,430660.209924927
"Delta_8836",3074371.1129803,3073474.30530418,3075267.92065641,1644537.10737039,1150572.46458677,2077068.1237007
"Estuary_10",109.424001647716,104.068818667273,114.779184628159,0,0,0
"Estuary_1002",151161.950844362,150658.763971549,151665.137717176,0,0,0
"Estuary_10040",766.39861252018,763.850467310471,768.946757729889,60.0548323071879,0,112.97719579495
"Estuary_1005",2264.46907515598,2248.06834023528,2280.86981007668,23.5140061134441,0,44.4080805020644
"Estuary_10082",194.622685961757,190.084628022736,199.160743900778,0,0,0
"Estuary_10089",136.746474107356,133.702415256166,139.790532958545,0,0,0
"Estuary_10099",16.4833493025533,16.0416697869989,16.9250288181077,0,0,0
"Estuary_101",5673.15580192658,5657.37521396109,5688.93638989206,677.391737543472,0,1273.64247534897
"Estuary_1010",18359.1470702792,18186.9427091689,18531.3514313896,0,0,0
"Estuary_10105",3.63627700866758,3.31703953914628,3.95551447818888,0,0,0
"Estuary_10108",127.191953829287,123.044594303232,131.339313355342,0,0,0
"Estuary_10111",156.881482350291,153.314899339618,160.448065360964,0,0,0
"Estuary_10124",854.6144962524,837.833906317363,871.395086187437,102.043521940585,0,195.088452131516
"Estuary_1014",50692.1056701687,50642.2533757007,50741.9579646367,5448.96266701663,999.943622743448,9350.17926997735
"Estuary_10141",467.420712598097,462.147652287805,472.693772908389,55.811428369922,0,105.826964083968
"Estuary_10143",37.3449427529071,36.0820737731085,38.6078117327058,0,0,0
"Estuary_10146",1935.09207359306,1923.80857543747,1946.37557174865,231.055769981261,0,435.755725018356
"Estuary_10147",87.0086028319347,82.8037171052451,91.2134885586242,0,0,0
"Estuary_1016",5560.23380854969,5514.78829419869,5605.67932290069,663.908514453695,0,1255.00283348523
"Estuary_10179",18.930464411927,18.2920098112533,19.5689190126006,0.0880221764711001,0,0.170607823439466
