system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GMW_mangrove,NDMI,NDVI,NDWI,label,latitude,longitude,.geo
1_100,0.1232,0.04765,0.04035,0.0701,0.0393,0.1056,0.2465,0.2921,0.30325,0.3119,0.5336959378854358,1,0.42220658928362065,0.7705444460662677,-0.6244810499531271,1,20.816248205988785,87.00451893737078,"{""type"":""Point"",""coordinates"":[87.00451893737078,20.816248205988785]}"
1_121,0.1273,0.0872,0.0646,0.0906,0.0915,0.1191,0.1585,0.1697,0.174,0.1765,0.16653209527654422,1,0.15499502157318285,0.3107344632768362,-0.3151927437641723,1,22.891400448804404,70.43495029424233,"{""type"":""Point"",""coordinates"":[70.43495029424233,22.891400448804404]}"
1_189,0.1268,0.0757,0.0437,0.0727,0.0721,0.1082,0.1527,0.1686,0.1816,0.1855,0.21279490069571305,1,0.17769130998702987,0.4316121403232164,-0.4282343688556823,1,22.955678452574336,70.44179276495078,"{""type"":""Point"",""coordinates"":[70.44179276495078,22.955678452574336]}"
1_225,0.0593,0.0226,0.0323,0.0431,0.03175,0.06835,0.16185,0.1979,0.18815,0.21885,0.34406898979232664,1,0.5207112547989493,0.7112323783537972,-0.6272432432432433,1,11.996590564239106,92.74024338970077,"{""type"":""Point"",""coordinates"":[92.74024338970077,11.996590564239106]}"
1_264,0.116,0.0475,0.0326,0.0488,0.0304,0.0745,0.2316,0.2915,0.302,0.3237,0.5476248084522946,1,0.4449760765550239,0.8170878459687125,-0.7217787913340934,1,12.75440688353739,92.71990948121123,"{""type"":""Point"",""coordinates"":[92.71990948121123,12.75440688353739]}"
1_316,0.09795,0.03765,0.0233,0.04445,0.02335,0.0806,0.24465,0.30155,0.2884,0.32125,0.5285144566301097,1,0.49294680988740786,0.8502004811547715,-0.732912723449001,1,13.07254726524838,92.96091408723842,"{""type"":""Point"",""coordinates"":[92.96091408723842,13.07254726524838]}"
1_402,0.1949,0.0923,0.03895,0.0677,0.04435,0.109,0.2675,0.3312,0.35725,0.35525,0.5876166688576311,1,0.29403241872679525,0.7791334661354582,-0.6813742793269797,1,11.851427032784523,92.73050567722856,"{""type"":""Point"",""coordinates"":[92.73050567722856,11.851427032784523]}"
1_411,0.0995,0.0447,0.0355,0.0537,0.0376,0.0772,0.1932,0.2269,0.2314,0.248,0.4068864161242914,1,0.3986098519190088,0.7204460966542751,-0.6232900736583654,1,19.097451462190556,72.94132491192546,"{""type"":""Point"",""coordinates"":[72.94132491192546,19.097451462190556]}"
1_461,0.11035,0.06215,0.0364,0.0526,0.0497,0.08115,0.1545,0.1835,0.18335,0.2018,0.2764676678664516,1,0.24855294518215867,0.5734820853894015,-0.5541428268700995,1,19.066039482221704,72.94555174105645,"{""type"":""Point"",""coordinates"":[72.94555174105645,19.066039482221704]}"
1_526,0.1305,0.0854,0.0516,0.0776,0.0769,0.1132,0.1629,0.1802,0.1858,0.1921,0.2160371369623869,1,0.17483401833702175,0.4145413018652455,-0.41078208048595294,1,22.938516282547777,70.48475805960717,"{""type"":""Point"",""coordinates"":[70.48475805960717,22.938516282547777]}"
1_605,0.1179,0.0489,0.032,0.0713,0.0431,0.1063,0.2415,0.2778,0.2819,0.3018,0.4590542099192618,1,0.4102051025512756,0.7347692307692308,-0.5962627406568517,1,20.356192157603957,86.771215597362,"{""type"":""Point"",""coordinates"":[86.771215597362,20.356192157603957]}"
1_612,0.063,0.0218,0.0293,0.0485,0.0234,0.0707,0.2244,0.2797,0.2973,0.3056,0.562215197668213,1,0.6502914238134888,0.8540692235734333,-0.7194910352805091,1,11.96453804174644,92.71817942530916,"{""type"":""Point"",""coordinates"":[92.71817942530916,11.96453804174644]}"
1_700,0.1134,0.0739,0.0607,0.0851,0.0843,0.1141,0.1474,0.1634,0.1654,0.1687,0.16674205353838562,1,0.18651362984218076,0.3247897476972367,-0.3205588822355289,1,23.113868695657587,70.25343074673435,"{""type"":""Point"",""coordinates"":[70.25343074673435,23.113868695657587]}"
1_718,0.10385,0.0479,0.03515,0.05,0.02935,0.07385,0.20025,0.251,0.2503,0.26765,0.47504891316032777,1,0.4135253423690527,0.790094761308779,-0.6669996669996671,1,11.563815806259424,92.61413044911696,"{""type"":""Point"",""coordinates"":[92.61413044911696,11.563815806259424]}"
1_746,0.1658,0.0696,0.0187,0.053,0.0329,0.0893,0.2607,0.2994,0.3342,0.3545,0.5413806734466525,1,0.3368,0.8207572868428222,-0.7262396694214877,1,20.35777821818863,86.7497934367848,"{""type"":""Point"",""coordinates"":[86.7497934367848,20.35777821818863]}"
1_804,0.07715,0.02545,0.0231,0.0351,0.01685,0.06075,0.2317,0.3003,0.30245,0.33105,0.5803462570104854,1,0.5935194942044257,0.8944566238647041,-0.7920308102503332,1,12.102878168885242,92.76567608917611,"{""type"":""Point"",""coordinates"":[92.76567608917611,12.102878168885242]}"
1_880,0.12097999999999999,0.068175,0.0541,0.077,0.0705,0.109775,0.1685,0.1863,0.1947,0.2,0.2561986880646892,1,0.23352762290927528,0.46832579185520373,-0.43319838056680166,1,22.528333404443686,69.96186879142219,"{""type"":""Point"",""coordinates"":[69.96186879142219,22.528333404443686]}"
1_908,0.0326,0.01375,0.0358,0.03865,0.02615,0.0338,0.0581,0.0699,0.0543,0.07285,0.07465259361408719,1,0.24971231300345229,0.3499067743940336,-0.16837009144701456,1,13.29805478109993,93.00868665063693,"{""type"":""Point"",""coordinates"":[93.00868665063693,13.29805478109993]}"
1_951,0.1364,0.07445,0.03835,0.068,0.04975,0.1164,0.2246,0.24805,0.2574,0.27765,0.40931580296071435,1,0.30726256983240224,0.6760540452547614,-0.5820528580208973,1,20.681799660008814,86.99282878112108,"{""type"":""Point"",""coordinates"":[86.99282878112108,20.681799660008814]}"
1_1001,0.08,0.0323,0.0298,0.046,0.0258,0.0743,0.2227,0.2779,0.2804,0.2981,0.5252950400264091,1,0.5560488346281908,0.8314826910516003,-0.7181372549019609,1,13.020424939044354,92.89997525302024,"{""type"":""Point"",""coordinates"":[92.89997525302024,13.020424939044354]}"
1_1021,0.15,0.0741,0.0372,0.0531,0.0445,0.0867,0.2149,0.2641,0.2732,0.2998,0.4533380907072629,1,0.29111531190926276,0.7198615045640542,-0.6745326386760649,1,12.984118587802863,92.81858080039534,"{""type"":""Point"",""coordinates"":[92.81858080039534,12.984118587802863]}"
1_1080,0.092,0.03885,0.0309,0.04405,0.02835,0.06775,0.20795,0.2601,0.2573,0.27955,0.47871450675364857,1,0.47323217864300027,0.8015053387012079,-0.7076489132238262,1,11.713781277496349,92.57360550958099,"{""type"":""Point"",""coordinates"":[92.57360550958099,11.713781277496349]}"
1_1180,0.1885,0.1305,0.0431,0.0588,0.0735,0.0988,0.1453,0.1657,0.1603,0.1947,0.16978991432260085,1,-0.08084862385321102,0.3712574850299401,-0.4632587859424921,1,15.622094780793025,73.8644090321564,"{""type"":""Point"",""coordinates"":[73.8644090321564,15.622094780793025]}"
1_1207,0.08565,0.0317,0.0282,0.04605,0.0275,0.06865,0.23755,0.30135,0.3097,0.3286,0.5585022165927802,1,0.5667130390792968,0.8368920521945431,-0.7411103302881238,1,12.813570239081818,92.78946662540466,"{""type"":""Point"",""coordinates"":[92.78946662540466,12.813570239081818]}"
1_1327,0.08975,0.03005,0.0234,0.04525,0.02125,0.0728,0.28215,0.35375,0.3503,0.3819,0.6316708899639101,1,0.5920918077491194,0.8856143183959091,-0.7712046517507268,1,12.615209539027049,92.78053467555547,"{""type"":""Point"",""coordinates"":[92.78053467555547,12.615209539027049]}"
1_1349,0.0678,0.0231,0.0208,0.0316,0.01705,0.0576,0.228,0.2931,0.3073,0.3219,0.5788329610721124,1,0.6384964009597441,0.8948666563897024,-0.8135143110061964,1,11.72032272189856,92.67582585917137,"{""type"":""Point"",""coordinates"":[92.67582585917137,11.72032272189856]}"
1_1365,0.11685,0.0437,0.0289,0.0503,0.02335,0.09295,0.2787,0.3477,0.35625,0.37465,0.6503985620506408,1,0.5060240963855421,0.8769757639620654,-0.7525519616283359,1,12.212868014899309,92.7665312541905,"{""type"":""Point"",""coordinates"":[92.7665312541905,12.212868014899309]}"
1_1391,0.1068,0.0422,0.0366,0.058,0.0316,0.106,0.3051,0.3641,0.3582,0.3851,0.6412471530668341,1,0.5406451612903226,0.8378655720882503,-0.7212878423834695,1,13.041832702581639,92.87187018614917,"{""type"":""Point"",""coordinates"":[92.87187018614917,13.041832702581639]}"
1_1433,0.125,0.07975,0.0601,0.08555,0.0844,0.12065,0.1632,0.176,0.1793,0.18325,0.19211304101380622,1,0.17844232665133086,0.359878649981039,-0.3539739475174627,1,23.147597960159924,70.51232691700129,"{""type"":""Point"",""coordinates"":[70.51232691700129,23.147597960159924]}"
1_1467,0.13575,0.0516,0.02675,0.06705,0.0322,0.114,0.2859,0.3328,0.3538,0.36955,0.597159038158017,1,0.445409049126749,0.833160621761658,-0.6813591540929073,1,20.365488994614097,86.7474279142554,"{""type"":""Point"",""coordinates"":[86.7474279142554,20.365488994614097]}"
