system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GMW_mangrove,NDMI,NDVI,NDWI,WorldCover,fold,label,latitude,longitude,n_scenes,region,.geo
0_1_2,0.0902,0.0386,0.0274,0.0558,0.0301,0.1029,0.2421,0.272,0.2868,0.2995,0.5085585228623504,1,0.5214854111405836,0.8100347112653833,-0.6742556917688265,95,Sundarbans,1,22.05693138109298,89.23502181183808,37,Sundarbans,"{""type"":""Point"",""coordinates"":[89.23502181183808,22.05693138109298]}"
0_1_6,0.07095,0.036,0.05555,0.07325,0.05885,0.09185,0.1661,0.1879,0.1919,0.19985,0.2947823197075441,1,0.46014837359710864,0.5306081754735793,-0.44748255704318307,95,Sundarbans,1,22.20098277842093,89.24467499585411,40,Sundarbans,"{""type"":""Point"",""coordinates"":[89.24467499585411,22.20098277842093]}"
0_1_11,0.0467,0.0298,0.0729,0.0821,0.0748,0.0942,0.0995,0.1126,0.1058,0.1004,0.07689636354616264,1,0.3875409836065574,0.1716500553709856,-0.12613092070250131,10,Sundarbans,1,22.186346016198033,88.68114710792649,29,Sundarbans,"{""type"":""Point"",""coordinates"":[88.68114710792649,22.186346016198033]}"
0_1_14,0.11065,0.0495,0.02105,0.05435,0.0332,0.1026,0.25565,0.30015,0.3139,0.3274,0.5178106956409453,1,0.47874219762101056,0.8087006626332469,-0.7048200950441276,95,Sundarbans,1,22.104079746281688,89.37759520442876,14,Sundarbans,"{""type"":""Point"",""coordinates"":[89.37759520442876,22.104079746281688]}"
0_1_23,0.12465,0.0796,0.06015,0.08585,0.07885,0.12035,0.16225,0.17605,0.17765,0.1841,0.20589767635719491,1,0.17532252729077077,0.3851851851851852,-0.34838709677419355,95,Sundarbans,1,21.76467745855989,88.50495423490305,16,Sundarbans,"{""type"":""Point"",""coordinates"":[88.50495423490305,21.76467745855989]}"
0_1_26,0.1014,0.0438,0.0242,0.0499,0.0331,0.0869,0.2263,0.2618,0.2766,0.2949,0.47054958645744765,1,0.46349206349206357,0.7862447529867613,-0.694333843797856,95,Sundarbans,1,22.144036806767108,89.20394504826274,27,Sundarbans,"{""type"":""Point"",""coordinates"":[89.20394504826274,22.144036806767108]}"
0_1_30,0.0854,0.0413,0.0281,0.0533,0.0339,0.0986,0.23065,0.2617,0.2645,0.28376666666666667,0.4585769399037506,1,0.5118605315804516,0.7727882037533513,-0.6645689112649464,95,Sundarbans,1,21.702510049312938,89.02636433815411,75,Sundarbans,"{""type"":""Point"",""coordinates"":[89.02636433815411,21.702510049312938]}"
0_1_34,0.09,0.0428,0.0152,0.0476,0.031,0.1013,0.2397,0.2743,0.2821,0.2923,0.4635920537626467,1,0.5162590701424349,0.8019801980198018,-0.7112526539278132,95,Sundarbans,1,21.865238710541444,89.33008948939278,15,Sundarbans,"{""type"":""Point"",""coordinates"":[89.33008948939278,21.865238710541444]}"
0_1_47,0.1024,0.0476,0.041,0.0601,0.0399,0.0916,0.2031,0.229,0.2393,0.2506,0.425631830601093,1,0.40064383962540245,0.7141833810888253,-0.5985303941215766,95,Sundarbans,1,22.142345220208313,89.30752253921813,39,Sundarbans,"{""type"":""Point"",""coordinates"":[89.30752253921813,22.142345220208313]}"
0_1_49,0.1063,0.0466,0.0136,0.04905,0.0284,0.09925,0.26645,0.31505,0.3257,0.3411,0.5331396599956962,1,0.5078703703703703,0.8395933352160407,-0.7382254836557706,95,Sundarbans,1,21.705617574328578,89.26709349057239,10,Sundarbans,"{""type"":""Point"",""coordinates"":[89.26709349057239,21.705617574328578]}"
0_1_51,0.0894,0.0503,0.0471,0.0638,0.051,0.0931,0.1657,0.186,0.1826,0.1962,0.28977848240630644,1,0.34264705882352947,0.5633561643835617,-0.4821428571428572,95,Sundarbans,1,21.90299066211729,88.89725805661524,33,Sundarbans,"{""type"":""Point"",""coordinates"":[88.89725805661524,21.90299066211729]}"
