site_id,latitude,longitude,B2_blue,B3_green,B4_red,B8_nir,B11_swir,NDVI,carbon_stock_tC_ha
S1,20.7211,86.8880,0.045,0.068,0.052,0.312,0.098,0.714,52.3
S2,20.7180,86.8920,0.052,0.075,0.061,0.278,0.112,0.640,44.1
S3,20.7250,86.8850,0.038,0.061,0.044,0.345,0.089,0.774,58.9
S4,20.7300,86.8790,0.061,0.089,0.075,0.245,0.134,0.531,35.6
S5,20.7150,86.8960,0.041,0.064,0.048,0.328,0.093,0.745,55.2
S6,20.7330,86.8760,0.070,0.098,0.088,0.198,0.152,0.385,24.8
S7,20.7195,86.8905,0.048,0.071,0.056,0.295,0.104,0.681,48.7
S8,20.7265,86.8830,0.043,0.066,0.050,0.318,0.095,0.728,53.6
S9,20.7360,86.8720,0.078,0.105,0.096,0.172,0.168,0.284,18.9
S10,20.7220,86.8875,0.046,0.069,0.053,0.308,0.100,0.706,51.4
S11,20.7280,86.8810,0.055,0.081,0.068,0.258,0.121,0.583,39.2
S12,20.7160,86.8940,0.040,0.063,0.046,0.335,0.091,0.759,56.8
S13,20.7310,86.8780,0.065,0.093,0.081,0.221,0.143,0.464,30.1
S14,20.7240,86.8865,0.044,0.067,0.051,0.315,0.097,0.721,52.9
S15,20.7350,86.8735,0.074,0.101,0.092,0.185,0.160,0.336,21.7
S16,20.7205,86.8895,0.047,0.070,0.054,0.301,0.102,0.694,50.0
S17,20.7290,86.8800,0.058,0.085,0.072,0.238,0.128,0.535,36.8
S18,20.7170,86.8950,0.039,0.062,0.045,0.340,0.090,0.767,57.9
S19,20.7320,86.8770,0.068,0.096,0.085,0.208,0.148,0.420,27.5
S20,20.7230,86.8870,0.045,0.068,0.052,0.310,0.099,0.713,52.0
