Type,AGB,Mean_AGB_Carbon_Secure,Low_AGB_Carbon_Secure,Hi_AGB_Carbon_Secure,Mean_AGB_Carbon_Restor,Low_AGB_Carbon_Restor,Hi_AGB_Carbon_Restor,Mean_SOC_Carbon_Secure,Low_SOC_Carbon_Secure,Hi_SOC_Carbon_Secure,Mean_SOC_Carbon_Restor,Low_SOC_Carbon_Restor,Hi_SOC_Carbon_Restor,typology_class,total_AGB_MgC,total_SOC_MgC,total_carbon_MgC,AGB_ha,carbon_density,restoration_efficiency,AGB_uncertainty,SOC_uncertainty
Delta_30028,65571.6474061571,17550.1501159617,17463.6240734917,17636.6761584316,3446.54709996389,2022.88836474469,9407.26199496934,253878.166509028,253680.215684371,254076.117333685,8676.93013256844,2843.35974343598,13790.1067216778,Delta,20996.69721592559,262555.09664159646,283551.7938575221,65571.6474061571,4.324304864588424,0.18488901395809595,173.05208493989994,395.90164931397885
Delta_50000,66876.2625171445,5361.93404714475,5355.40381129039,5368.46428299911,16052.5139734701,11869.5958296021,22111.6496109705,88284.0811783281,88225.4957726143,88342.6665840419,48344.8754923862,33997.8919220949,60919.1312898245,Delta,21414.44802061485,136628.9566707143,158043.40469132917,66876.2625171445,2.3632212498539813,0.9629334391907337,13.060471708719888,117.17081142759707
Delta_50001,502766.462239992,39692.2454179795,39662.9427635823,39721.5480723767,121298.603455888,89550.6978208239,166771.165726003,398141.056729526,398015.701118503,398266.412340549,215847.905136552,150481.974697248,273087.579251012,Delta,160990.8488738675,613988.961866078,774979.8107399455,502766.462239992,1.5414310001648726,0.6705827335624974,58.605308794401935,250.7112220459967
Delta_70000,183300.73331836,46669.8399484957,46618.7400183908,46720.9398786005,12024.8878673765,7603.90999318573,28589.8835259703,530783.349438323,530601.997918091,530964.700958554,31936.3499631817,16833.6794419078,45161.5773469677,Delta,58694.7278158722,562719.6994015047,621414.4272173769,183300.73331836,3.3901360674760266,0.2398312163552861,102.19986020969372,362.703040463035
Delta_70001,209807.500849981,60532.9160895049,60484.8437288005,60580.9884502093,6649.54375766762,3519.70095128999,25594.4901310742,709811.729091681,709600.514351217,710022.943832145,17320.5536879062,9859.51959487731,23853.4864811832,Delta,67182.45984717252,727132.2827795872,794314.7426267597,209807.500849981,3.7859215681460303,0.11424804808438759,96.14472140879661,422.42948092799634
Delta_70002,142052.3552194,41772.3783351183,41730.8100090676,41813.9466611689,3714.20632968596,1759.27702289169,16543.7753655337,373556.755782347,373415.850291142,373697.661273552,5654.14596558217,2535.52132196967,8385.26709236475,Delta,45486.584664804264,379210.90174792917,424697.48641273344,142052.3552194,2.989725061276089,0.0659499962587646,83.13665210129693,281.8109824099811
Delta_70003,107771.799706041,25854.3984721446,25831.3700879221,25877.426856367,8655.2095117268,5372.74410054867,18392.5934582419,274496.11222487,274383.928542787,274608.295906953,13153.0903241464,2011.79783733413,22910.360929508,Delta,34509.6079838714,287649.2025490164,322158.8105328878,107771.799706041,2.9892681704454236,0.2023562740471779,46.056768444901536,224.36736416601343
Delta_70004,16639.6225635409,3241.72971661246,3235.10961937383,3248.34981385108,2086.44382445897,1439.82937587372,3594.66366031749,48756.0057141719,48729.0808555998,48782.9305727439,7657.36857021066,4561.74153945748,10369.5600295878,Delta,5328.17354107143,56413.37428438256,61741.54782545399,16639.6225635409,3.710513720469597,0.585578931100235,13.240194477250043,53.84971714409767
Delta_70005,10826.8515660843,3000.80747397562,2997.43989767453,3004.17505027672,466.058666000218,256.292759400122,1444.25964235554,24149.624701361,24143.0055795703,24156.2438231517,492.22376558094,43.82196897914,884.807273619477,Delta,3466.866139975838,24641.84846694194,28108.71460691778,10826.8515660843,2.596203931987934,0.08850979675227373,6.735152602189828,13.238243581399729
Delta_70006,44377.397774868,10190.1587145463,10180.6713728891,10199.6460562034,4019.92782694424,2599.43122617219,8030.23854353265,47303.6744456019,47292.1458428986,47315.2030483053,3542.77674551777,1423.12520918777,5398.48365327259,Delta,14210.08654149054,50846.45119111967,65056.53773261021,44377.397774868,1.4659836086525406,0.17041793687021808,18.97468331429991,23.05720540670154
Delta_70007,128412.878190632,33800.1886926741,33779.1494759987,33821.2279093495,7318.89903274815,4693.96997172879,18913.5061957476,66919.9879891129,66906.5351130932,66933.4408651326,4458.32259800879,3020.53949639163,5717.00044376679,Delta,41119.08772542225,71378.31058712168,112497.39831254393,128412.878190632,0.8760600953553805,0.09171371124688422,42.07843335079815,26.905752039398067
Delta_70008,651110.920640841,120523.617837685,120253.208548714,120794.027126656,87968.6100607183,56827.5876842783,147027.951607022,404245.378522281,403999.431445478,404491.325599085,33019.464275917,1085.07221240194,60998.5689274681,Delta,208492.2278984033,437264.842798198,645757.0706966013,651110.920640841,0.9917773611614895,0.18581791596669206,540.8185779420019,491.8941536070197
Delta_70009,885183.10398012,181919.548331073,181724.428257533,182114.668404613,101524.933394401,64985.8560655247,181562.978358908,2251635.95246598,2251172.05997956,2252099.84495241,154750.613879492,10691.3262043726,280858.41469087,Delta,283444.481725474,2406386.566345472,2689831.048070946,885183.10398012,3.0387284122080978,0.2895169893342752,390.2401470800105,927.7849728502333
Delta_70010,214062.24123228,58611.7115467518,58538.1993564809,58685.2237370227,9933.15871823671,5533.11734353131,29278.2483474004,672386.723248339,672225.729694808,672547.71680187,13948.6505943806,0.0,26159.9820052131,Delta,68544.87026498851,686335.3738427196,754880.2441077081,214062.24123228,3.5264521186087356,0.11156479150707874,147.02438054179947,321.9871070620138
Delta_70011,256451.254041529,36677.4119771866,36636.7104227081,36718.1135316651,45440.8440794513,29824.4729556948,68648.8435501794,628289.538425929,628165.263240765,628413.813611094,70845.6770835338,0.0,132861.91931946,Delta,82118.25605663791,699135.2155094629,781253.4715661008,256451.254041529,3.0464014476590817,0.45344493088013516,81.40310895699804,248.55037032905966
Delta_70012,146509.842107051,20103.7071220412,20061.8979047397,20145.5163393426,26810.2094190578,17609.3185843248,40108.6370750091,424775.400789215,424621.115875753,424929.685702677,50011.9273665833,0.0,93806.423367132,Delta,46913.916541098995,474787.3281557983,521701.24469689734,146509.842107051,3.5608614219630623,0.5243479597057319,83.61843460290038,308.56982692400925
Delta_70013,81068.8847759626,25227.8262534318,25213.6472960365,25242.0052108271,731.241340679184,0.0,8048.17557446662,83905.4510927048,83883.2540509687,83927.6481344408,0.0,0.0,0.0,Delta,25959.067594110984,83905.4510927048,109864.51868681578,81068.8847759626,1.3551995810776376,0.009020000000000018,28.35791479060208,44.39408347209974
Delta_70014,773938.211310274,204381.44424662,204313.443066779,204449.445426462,43441.3103970423,25233.4085125867,113288.217435533,681005.053686812,680902.788422151,681107.318951473,18034.5903803949,0.0,33819.9348775351,Delta,247822.7546436623,699039.644067207,946862.3987108693,773938.211310274,1.223434099613502,0.07943256952432776,136.00235968301422,204.53052932198625
Delta_8735,498.935923974277,67.5060305137196,65.1069128314413,69.905148195998,92.2582417020835,58.5962215482971,142.140467998529,4036.03537118269,3998.26605735221,4073.80468501317,481.914671185993,0.0,912.045825002948,Delta,159.7642722158031,4517.950042368683,4677.714314584487,498.935923974277,9.375380865190316,1.150794892286967,4.798235364556689,75.53862766096017
Delta_8736,2915214.37741285,666194.177420819,665694.138991131,666694.215850508,267286.61837055,183946.467499126,530636.947065281,4647075.74912855,4645537.47995648,4648614.01830062,580951.229886622,396921.43488084,742107.867893544,Delta,933480.7957913689,5228026.979015172,6161507.774806541,2915214.37741285,2.113569356183905,0.2909692867973412,1000.0768593769753,3076.5383441401646
Delta_8739,262702.565214032,20411.6383385322,20389.7817565287,20433.4949205358,63708.350068653,47070.8530646533,87497.7129263836,255658.582109241,255511.924411088,255805.239807394,141052.831334526,98680.3071113768,178181.384482547,Delta,84119.9884071852,396711.413443767,480831.4018509522,262702.565214032,1.8303262530352673,0.7794411190326735,43.713164007098385,293.31539630601765
Delta_8740,192175.970838326,47183.872602388,47037.8678257592,47329.8773790169,14352.7950197523,8904.21412819031,31785.1193805904,131737.605071637,131515.360822112,131959.849321162,6582.59875127296,1800.85710651213,10782.1189112626,Delta,61536.6676221403,138320.20382290994,199856.87144505023,192175.970838326,1.0399680593427887,0.10893866532688319,292.0095532577034,444.4884990499995
Delta_8741,48848.4567337379,5406.35763568539,5384.47284230659,5428.2424290642,10235.4066950248,7122.16761104642,14700.8060507169,65235.6304526614,65176.631948068,65294.6289572549,17662.5897180903,8812.13607083675,25422.7282407463,Delta,15641.76433071019,82898.2201707517,98539.98450146188,48848.4567337379,2.0172589082717898,0.5711131585012171,43.76958675761034,117.99700918689632
Delta_8742,69623.2858521729,13430.2411900608,13419.374640884,13441.1077392376,8863.83117266347,5697.11453430499,15156.1046058482,96341.7181311375,96248.7689442856,96434.6673179894,7079.04813760482,0.0,13286.0210766001,Delta,22294.07236272427,103420.76626874233,125714.8386314666,69623.2858521729,1.8056435730193723,0.22898774619915072,21.733098353599416,185.89837370379246
Delta_8743,44594.4449546855,4130.14812875866,4115.05269555118,4145.24356196614,10149.4390901812,7306.94145319411,14223.6552801981,145553.372463379,145370.257626233,145736.487300524,59769.5627121217,37820.8088550441,79032.3391369968,Delta,14279.587218939861,205322.9351755007,219602.52239444054,44594.4449546855,4.924436723398821,1.5678859076136245,30.19086641496051,366.2296742909821
Delta_8745,113659.761295988,27828.9034382236,27741.1558845098,27916.6509919374,8566.0887263649,5204.14648165092,18877.535020275,656260.813830932,655635.525355849,656886.102306014,25120.6876071294,0.0,47146.1675994151,Delta,36394.9921645885,681381.5014380615,717776.49360265,113659.761295988,6.315132861606549,0.29638260673246186,175.49510742759958,1250.5769501650939
